0 15012 15012 15012 15012 15012 15012 15012 15012 15012 15012 15012 15012 15012 15012 15012 15012 15012
5196 0 5196 5196 5196 5196 5196 5196 5196 5196 5196 5196 5196 5196 5196 5196 5196 5196
1647 1647 0 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647 1647
5004 5004 5004 0 5004 5004 5004 5004 5004 5004 5004 5004 5004 5004 5004 5004 5004 5004
2047 2047 2047 2047 0 2047 2047 2047 2047 2047 2047 2047 2047 2047 2047 2047 2047 2047
860 860 860 860 860 0 860 860 860 860 860 860 860 860 860 860 860 860
684 684 684 684 684 684 0 684 684 684 684 684 684 684 684 684 684 684
593 593 593 593 593 593 593 0 593 593 593 593 593 593 593 593 593 593
282 282 282 282 282 282 282 282 0 282 282 282 282 282 282 282 282 282
236 236 236 236 236 236 236 236 236 0 236 236 236 236 236 236 236 236
204 204 204 204 204 204 204 204 204 204 0 204 204 204 204 204 204 204
142 142 142 142 142 142 142 142 142 142 142 0 142 142 142 142 142 142
112 112 112 112 112 112 112 112 112 112 112 112 0 112 112 112 112 112
96 96 96 96 96 96 96 96 96 96 96 96 96 0 96 96 96 96
89 89 89 89 89 89 89 89 89 89 89 89 89 89 0 89 89 89
187 187 187 187 187 187 187 187 187 187 187 187 187 187 187 0 187 187
1039 1039 1039 1039 1039 1039 1039 1039 1039 1039 1039 1039 1039 1039 1039 1039 0 1039
144 144 144 144 144 144 144 144 144 144 144 144 144 144 144 144 144 0
Attribute-name test-cost discount group binarize-begin binarize-end
wrr 7.11229 7.11229 x 0 7
wrf 7.3094 7.3094 x 8 15
wkf 7.57644 7.57644 x 16 19
bkr 70.0909 70.0909 x 20 27
bkf 78.6536 78.6536 x 28 35
wkr 89.3119 89.3119 x 36 39
