0 78 78 78 78 78 78 78 78 78 78 78 78 78 78
78 0 78 78 78 78 78 78 78 78 78 78 78 78 78
78 78 0 78 78 78 78 78 78 78 78 78 78 78 78
78 78 78 0 78 78 78 78 78 78 78 78 78 78 78
35 35 35 35 0 35 35 35 35 35 35 35 35 35 35
78 78 78 78 78 0 78 78 78 78 78 78 78 78 78
78 78 78 78 78 78 0 78 78 78 78 78 78 78 78
17 17 17 17 17 17 17 0 17 17 17 17 17 17 17
78 78 78 78 78 78 78 78 0 78 78 78 78 78 78
78 78 78 78 78 78 78 78 78 0 78 78 78 78 78
78 78 78 78 78 78 78 78 78 78 0 78 78 78 78
35 35 35 35 35 35 35 35 35 35 35 0 35 35 35
78 78 78 78 78 78 78 78 78 78 78 78 0 78 78
17 17 17 17 17 17 17 17 17 17 17 17 17 0 17
17 17 17 17 17 17 17 17 17 17 17 17 17 17 0
Attribute-name test-cost discount group binarize-begin binarize-end
plantStand 5.0 5.0 x 0 0
hail 5.0 5.0 x 1 1
plantGrth 5.0 5.0 x 2 2
leaves 5.0 5.0 x 3 3
leafshread 5.0 5.0 x 4 4
leafmalf 5.0 5.0 x 5 5
stem 5.0 5.0 x 6 6
lodging 5.0 5.0 x 7 7
fb 5.0 5.0 x 8 8
mycelium 5.0 5.0 x 9 9
sclerotia 5.0 5.0 x 10 10
seed 5.0 5.0 x 11 11
moldgrth 5.0 5.0 x 12 12
seeddis 5.0 5.0 x 13 13
seedsize 5.0 5.0 x 14 14
shriveling 5.0 5.0 x 15 15
date 10.0 2.0 a 16 22
prec 10.0 2.0 a 23 25
temp 10.0 2.0 a 26 28
hist 10.0 2.0 a 29 32
ad 10.0 2.0 a 33 36
sev 10.0 2.0 a 37 39
seedtmt 10.0 2.0 a 40 42
germ 10.0 2.0 a 43 45
lshalo 10.0 2.0 a 46 48
lsmarg 10.0 2.0 a 49 51
lssize 10.0 2.0 a 52 54
leafmild 10.0 2.0 a 55 57
stemc 10.0 2.0 a 58 61
lesion 10.0 2.0 a 62 65
extdecay 10.0 2.0 a 66 66
idis 10.0 2.0 a 67 69
fruitpods 10.0 2.0 a 70 72
fruitspots 10.0 2.0 a 73 76
roots 10.0 2.0 a 77 79
