label: 	readmitted:<30

f0 	gender=Female
f1 	age<40
f2 	40<=age<60
f3 	60<=age80
f4 	age>=80
f5 	time_in_hospital<6
f6 	num_lab_procedures<51
f7 	num_procedures<2
f8 	number_outpatient=0
f9 	num_medications<16
f10 	number_emergency=0
f11 	number_inpatient=0
f12 	number_diagnoses=0
f13 	race=Caucasian
f14 	race=AfricanAmerican
f15 	race=Other
f16 	race=Hispanic
f17 	race=Asian
f18 	admission_type_id=1
f19 	admission_type_id=2
f20 	admission_type_id=3
f21 	admission_type_id=6
f22 	admission_type_id=4
f23 	admission_type_id=5
f24 	admission_type_id=8
f25 	discharge_disposition_id=1
f26 	discharge_disposition_id=3
f27 	discharge_disposition_id=6
f28 	discharge_disposition_id=2
f29 	discharge_disposition_id=5
f30 	discharge_disposition_id=7
f31 	discharge_disposition_id=25
f32 	discharge_disposition_id=10
f33 	discharge_disposition_id=4
f34 	discharge_disposition_id=14
f35 	discharge_disposition_id=18
f36 	discharge_disposition_id=8
f37 	discharge_disposition_id=12
f38 	discharge_disposition_id=16
f39 	discharge_disposition_id=17
f40 	discharge_disposition_id=22
f41 	discharge_disposition_id=9
f42 	discharge_disposition_id=23
f43 	discharge_disposition_id=13
f44 	discharge_disposition_id=15
f45 	discharge_disposition_id=24
f46 	discharge_disposition_id=28
f47 	discharge_disposition_id=27
f48 	admission_source_id=7
f49 	admission_source_id=2
f50 	admission_source_id=4
f51 	admission_source_id=1
f52 	admission_source_id=5
f53 	admission_source_id=20
f54 	admission_source_id=17
f55 	admission_source_id=3
f56 	admission_source_id=6
f57 	admission_source_id=8
f58 	admission_source_id=9
f59 	admission_source_id=10
f60 	admission_source_id=22
f61 	max_glu_serum=None
f62 	max_glu_serum=>300
f63 	max_glu_serum=Norm
f64 	max_glu_serum=>200
f65 	A1Cresult=None
f66 	A1Cresult=>7
f67 	A1Cresult=Norm
f68 	A1Cresult=>8
f69 	metformin=No
f70 	metformin=Steady
f71 	metformin=Up
f72 	metformin=Down
f73 	repaglinide=No
f74 	repaglinide=Up
f75 	repaglinide=Steady
f76 	repaglinide=Down
f77 	nateglinide=No
f78 	nateglinide=Steady
f79 	nateglinide=Down
f80 	nateglinide=Up
f81 	chlorpropamide=No
f82 	chlorpropamide=Steady
f83 	chlorpropamide=Up
f84 	glimepiride=No
f85 	glimepiride=Steady
f86 	glimepiride=Down
f87 	glimepiride=Up
f88 	acetohexamide=No
f89 	glipizide=No
f90 	glipizide=Steady
f91 	glipizide=Up
f92 	glipizide=Down
f93 	glyburide=No
f94 	glyburide=Steady
f95 	glyburide=Up
f96 	glyburide=Down
f97 	tolbutamide=No
f98 	pioglitazone=No
f99 	pioglitazone=Steady
f100 	pioglitazone=Down
f101 	pioglitazone=Up
f102 	rosiglitazone=No
f103 	rosiglitazone=Steady
f104 	rosiglitazone=Up
f105 	rosiglitazone=Down
f106 	acarbose=No
f107 	acarbose=Steady
f108 	acarbose=Up
f109 	acarbose=Down
f110 	miglitol=No
f111 	miglitol=Steady
f112 	miglitol=Down
f113 	miglitol=Up
f114 	troglitazone=No
f115 	tolazamide=No
f116 	tolazamide=Steady
f117 	tolazamide=Up
f118 	insulin=Up
f119 	insulin=Steady
f120 	insulin=No
f121 	insulin=Down
f122 	glyburide-metformin=No
f123 	glyburide-metformin=Steady
f124 	glyburide-metformin=Up
f125 	glipizide-metformin=No
f126 	glimepiride-pioglitazone=No
f127 	change=Ch
f128 	diabetesMed=Yes
